Project,NewC,BCT,NewB,BFR,DSN stability,compose stability,DSN size,DSN density,DSN bridges,DSN k-stars (k=3),C#,C++,Ruby,Python,Go,C,Java,JavaScript-like,PHP,other language,System,CN,SP,DET,AI,DS,GE,Mobile,other domain,sponsor,size,experience
homebrew-cask,902.7222222,16435.72062,2.75,0.929292929,0.009744695,9.50E-05,672,0.000240392,168,79,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1341,364.0856957
Cataclysm-DDA,995.1388889,37224.60231,1.194444444,1.534883721,0.026534155,0.000704061,663,3.85E-05,44,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,491,758.0447608
framework,323.3611111,29083.38581,7.555555556,1.411764706,0.003204642,1.03E-05,3418,1.86E-05,462,371,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,937,652.8322061
istio,294.1388889,37161.56951,13.91666667,0.774451098,0.004966305,2.47E-05,2753,1.51E-05,258,271,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,1172.326084
bitcoin,124.7777778,33398.97454,1.388888889,1.24,0.016144062,0.000260631,508,0.000223836,52,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,163,410.5107523
sourcegraph,8.833333333,5407.763889,0.444444444,0.6875,0.071390799,0.005096646,62,0.005331957,18,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1441.939599
ardupilot,372.2777778,36467.42824,1.805555556,0.938461538,0.014424069,0.000208054,631,0.000144574,88,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,717.6731258
radare2,171.5555556,28011.27081,3.888888889,0.842857143,0.031785346,0.001010308,171,0.001322649,47,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,54,572.5864899
openssl,179.5833333,12939.29405,1.25,1.088888889,0.017926477,0.000321359,270,0.001048939,65,31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29,1010.295071
numpy,112.5,34031.52639,2,1.236111111,0.009723639,9.45E-05,633,0.000291081,141,109,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,261,818.6814997
chef,247.0277778,32108.20401,1.805555556,1.769230769,0.006973367,4.86E-05,1033,0.000136076,178,120,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,286,1401.151557
cdnjs,138.5833333,5049.888889,0.305555556,0.909090909,0.02025757,0.000410369,170,0.00283187,56,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,776,809.4091532
openlayers,297.6388889,17917.45284,1.972222222,0.830985915,0.019782916,0.000391364,326,0.000523973,68,48,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,88,951.4444213
Ghost,176.0555556,31668.84167,1.416666667,1.37254902,0.006254982,3.91E-05,1412,6.76E-05,234,153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,270,936.4429913
elixir,170.5,25619.13426,1.166666667,0.928571429,0.026851429,0.000720999,199,0.001181079,52,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,139,650.1718924
PowerShell,152.8333333,34327.97222,1.25,0.955555556,0.007605019,5.78E-05,1373,5.11E-05,170,156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61,612.4975916
metamask-extension,237.1666667,29387.34028,1.222222222,1.136363636,0.00445598,1.99E-05,1757,6.92E-05,250,198,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,99,1017.303939
grpc-java,67.55555556,35298.88611,1.361111111,1.040816327,0.01388029,0.000192662,422,0.000495969,72,53,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,42,717.6840157
rpcs3,130.5833333,31461.0537,1.722222222,0.967741935,0.046748318,0.002185405,187,0.000547502,14,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,72,572.9787069
react-native-windows,33.83333333,29532.9838,1.888888889,0.794117647,0.016495389,0.000272098,276,0.001157742,65,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,852.0383932
spring-boot,226.1111111,28722.91574,2,0.805555556,0.004062815,1.65E-05,1670,9.21E-05,358,260,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28,905.5646362
curl,104.6111111,29533.20988,3.083333333,1.081081081,0.005910762,3.49E-05,724,0.000473628,202,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,1602.298317
codecombat,359.5833333,31682.89806,4.5,0.956790123,0.015984691,0.00025551,327,0.000763528,74,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,549,772.7872454
MonoGame,206.1944444,30620.08218,2.583333333,0.666666667,0.017333128,0.000300437,484,0.000221077,67,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,203,344.2594074
theia,119.6111111,33583.21759,1.361111111,0.816326531,0.017836662,0.000318147,390,0.00038117,78,56,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,52,1538.65592
sequelize,60.88888889,20642.97222,0.944444444,0.882352941,0.022443239,0.000503699,316,0.000447423,70,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,98,453.9241898
monica,66.30555556,34885.48611,1.388888889,1.14,0.011406594,0.00013011,524,0.000375101,105,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1259.115071
ingress-nginx,117.6944444,31557.98337,5,1.066666667,0.003674667,1.35E-05,2124,5.76E-05,306,249,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314,1315.100855
darkreader,8.916666667,7089.361111,0.444444444,0.25,0.094357077,0.008903258,47,0.006926024,15,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,12,561.4965493
parse-server,65.55555556,30631.9113,3.694444444,1.240601504,0.005648535,3.19E-05,2011,2.98E-05,194,230,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,73,1328.720771
jerryscript,46.61111111,39310.86111,1.361111111,0.897959184,0.083661417,0.006999233,128,0.000527713,17,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,809.1818201
cypress,266.6666667,23316.98241,1.583333333,0.842105263,0.01662017,0.00027623,536,0.000176784,80,49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,960.5537917
Chart.js,37.47222222,23174.40146,1.25,1.177777778,0.00596628,3.56E-05,1474,6.55E-05,232,141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,99,600.44961
material,121.3333333,30645.62607,2.166666667,1.435897436,0.003026533,9.16E-06,5398,5.43E-06,488,437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,1064.412209
codesandbox-client,112.4444444,32752.72507,2.166666667,1.282051282,0.004202456,1.77E-05,1346,0.000160966,289,212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34,1351.160452
sway,117.3888889,19750.19491,2.166666667,0.820512821,0.014295395,0.000204358,530,0.000240936,94,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,156,1105.963273
TiddlyWiki5,158.1944444,18865.7037,1,1.055555556,0.040667859,0.001653875,130,0.001814857,38,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63,601.1190008
borg,118.7222222,36322.8912,1.5,0.888888889,0.010251077,0.000105085,636,0.000268269,108,101,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,112,1385.701434
realm-cocoa,193.75,29763.82606,2.194444444,1.278481013,0.005510838,3.04E-05,1896,3.66E-05,278,223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,92,1156.244311
aws-cli,89.86111111,36984.23241,1.583333333,1.122807018,0.008440092,7.12E-05,764,0.000219321,180,86,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,723.4865532
keystone-classic,194.6666667,34601.02361,1.972222222,1.042253521,0.015078275,0.000227354,827,6.05E-05,78,78,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,206,855.6847618
amplify-js,171.8611111,29218.76111,2.222222222,0.95,0.002931975,8.60E-06,4331,1.12E-05,282,319,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,126,1480.013952
notepad-plus-plus,35.91666667,31751.88558,3.916666667,0.638297872,0.00376162,1.41E-05,1648,0.000108504,398,184,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,707.3978542
