Project,triangleCount,quadrangleCount,pentagonCount,stars>3Count,stars>4Count,stars>5Count
homebrew-cask,20192,46767,104107,1357,1024,797
Cataclysm-DDA,260644,1508946,6610178,2524,2195,1931
framework,284811,951442,2817144,9140,7881,6875
istio,166046,747186,3220132,4217,3631,3143
bitcoin,55972,185643,536375,2070,1679,1384
sourcegraph,18238,77411,262385,426,355,284
ardupilot,38070,127442,376540,1315,1100,902
radare2,7737,12582,17122,642,439,308
openssl,20635,42171,76232,1478,1123,854
numpy,47693,115347,242175,2685,2104,1671
chef,14630,26077,36949,1049,837,677
cdnjs,10568,27153,66737,713,457,350
openlayers,23507,63242,173217,1339,1015,786
Ghost,34364,80099,165050,1981,1609,1332
elixir,13660,25931,39941,913,698,569
PowerShell,63707,219202,648758,2247,1873,1499
metamask-extension,51338,142776,359202,2560,2201,1910
grpc-java,4424,5055,5076,564,390,261
rpcs3,69909,247317,702284,1863,1629,1406
react-native-windows,8045,20285,51375,519,401,326
spring-boot,61354,127907,247664,4315,3326,2644
curl,6433,7698,9559,871,547,354
codecombat,4660,21631,98996,244,191,151
MonoGame,21004,56214,126485,952,807,660
theia,5851,11081,16736,389,291,234
sequelize,125981,427539,1347912,4894,4196,3643
monica,5108,7994,12079,500,367,283
ingress-nginx,65436,187007,505393,3298,2809,2408
darkreader,17285,51500,144466,1007,818,676
parse-server,45520,125129,342033,1848,1570,1335
jerryscript,3425,9995,26005,141,116,96
cypress,183356,624772,1861934,5931,5347,4809
Chart.js,84861,306398,1030408,3647,3018,2557
material,259279,1072403,3790240,4929,4446,4015
codesandbox-client,16546,34443,67749,1236,985,798
sway,27959,67204,141476,1318,1112,949
TiddlyWiki5,4874,9766,14884,306,243,176
borg,7622,13146,21474,673,490,363
realm-cocoa,72006,243037,778408,2577,2195,1870
aws-cli,110192,466017,1772289,3458,2995,2656
keystone-classic,38777,121510,314101,1094,975,855
amplify-js,170774,550936,1556876,5093,4597,4169
notepad-plus-plus,56411,170384,506878,2841,2311,1939
blueprint,7746,15343,27408,581,470,383
caffe,82467,305782,1016535,2698,2429,2144
redux,41956,137958,420894,1506,1315,1183
mitmproxy,6747,11250,19264,825,571,448
prometheus-operator,18463,38477,73793,1287,1049,851
flask,16009,38216,88661,1114,855,694
cert-manager,53610,173069,495003,2182,1921,1709
kakoune,5626,10509,15232,371,287,226
notebook,87455,352927,1229991,2529,2289,2082
qutebrowser,9446,17897,32422,746,591,441
go,587458,4226628,28126583,8797,7436,6318
