Project,Time,ID,New_Commits,New_Bugs,Avg_Issue_Resolved_Time,Avg_Bug_Fix_Time,Resolved_Issues,Fixed_Bugs
homebrew-cask,201204,1,2,0,0,0,0,0
homebrew-cask,201205,2,0,0,0,0,0,0
homebrew-cask,201206,3,0,0,0,0,0,0
homebrew-cask,201207,4,0,0,0,0,0,0
homebrew-cask,201208,5,9,0,44476.0,0,1,0
homebrew-cask,201209,6,28,0,25407.0,0,1,0
homebrew-cask,201210,7,148,2,31478.363636363636,84415.0,11,1
homebrew-cask,201211,8,57,0,37857.0,0,2,0
homebrew-cask,201212,9,18,0,7303.0,0,2,0
homebrew-cask,201301,10,31,1,20339.222222222223,3899.0,9,1
homebrew-cask,201302,11,44,0,36896.444444444445,0,9,0
homebrew-cask,201303,12,38,0,43656.6,0,5,0
homebrew-cask,201304,13,135,0,30074.363636363636,0,22,0
homebrew-cask,201305,14,380,0,20477.157894736843,0,19,0
homebrew-cask,201306,15,511,1,29478.76923076923,2326.0,13,1
homebrew-cask,201307,16,413,2,27697.5,34222.0,16,2
homebrew-cask,201308,17,215,3,29151.909090909092,44602.666666666664,11,3
homebrew-cask,201309,18,242,3,29729.75,6589.0,16,2
homebrew-cask,201310,19,576,6,28006.795454545456,20642.666666666668,44,3
homebrew-cask,201311,20,882,2,28549.764705882353,18597.0,34,2
homebrew-cask,201312,21,694,4,28102.295454545456,22426.666666666668,44,6
homebrew-cask,201401,22,793,6,32215.42,18603.0,50,3
homebrew-cask,201402,23,1049,1,37332.80392156863,65133.5,51,2
homebrew-cask,201403,24,777,0,33734.642857142855,0,28,0
homebrew-cask,201404,25,629,2,30058.916666666668,70025.66666666667,36,3
homebrew-cask,201405,26,1022,5,31735.470588235294,37384.833333333336,68,6
homebrew-cask,201406,27,3084,5,27534.975609756097,22065.666666666668,41,3
homebrew-cask,201407,28,662,2,20514.4,8566.0,40,1
homebrew-cask,201408,29,656,1,33882.08571428571,17484.0,35,2
homebrew-cask,201409,30,4201,4,41457.97297297297,49963.0,37,2
homebrew-cask,201410,31,3915,2,26399.203125,1134.0,64,1
homebrew-cask,201411,32,3386,4,24891.984375,16412.0,64,4
homebrew-cask,201412,33,4308,20,14836.155405405405,7831.714285714285,148,21
homebrew-cask,201501,34,2620,11,19409.953846153847,15955.1,130,10
homebrew-cask,201502,35,952,12,22670.432098765432,23407.46153846154,81,13
homebrew-cask,201503,36,1258,4,31622.295774647886,33771.5,71,4
homebrew-cask,201504,37,1593,8,27479.86,29875.571428571428,50,7
homebrew-cask,201505,38,1201,7,24955.1,17415.0,50,7
homebrew-cask,201506,39,1210,4,25686.174603174604,31953.666666666668,63,6
homebrew-cask,201507,40,835,5,33982.71844660194,20189.2,103,5
homebrew-cask,201508,41,861,10,27545.909090909092,24172.5,77,10
homebrew-cask,201509,42,698,4,27461.56,19614.0,50,1
homebrew-cask,201510,43,980,7,20342.77011494253,30591.9,87,10
homebrew-cask,201511,44,741,3,16627.923076923078,3024.3333333333335,65,3
homebrew-cask,201512,45,927,4,24558.01923076923,4225.75,104,4
homebrew-cask,201601,46,3762,7,13608.375,11089.8,280,5
homebrew-cask,201602,47,1268,4,10915.173410404625,5851.5,173,6
homebrew-cask,201603,48,974,4,22076.363636363636,8941.75,88,4
homebrew-cask,201604,49,616,2,11818.538461538461,14734.0,52,3
homebrew-cask,201605,50,620,3,15547.0,5120.0,42,3
homebrew-cask,201606,51,1004,11,21708.83870967742,29533.090909090908,124,11
homebrew-cask,201607,52,884,4,18272.054545454546,17177.25,55,4
homebrew-cask,201608,53,794,5,24489.061855670105,32330.0,97,5
homebrew-cask,201609,54,848,4,21316.684210526317,24174.666666666668,76,3
homebrew-cask,201610,55,930,14,11833.365650969528,13506.615384615385,361,13
homebrew-cask,201611,56,889,5,21822.39393939394,23435.2,66,5
homebrew-cask,201612,57,1065,4,19951.873015873014,19385.85714285714,63,7
homebrew-cask,201701,58,1070,4,26079.86842105263,3682.6666666666665,76,3
homebrew-cask,201702,59,693,6,15474.516129032258,4622.142857142857,62,7
homebrew-cask,201703,60,1091,7,21119.189873417723,12433.833333333334,79,6
homebrew-cask,201704,61,1376,4,31121.059523809523,39410.125,84,8
homebrew-cask,201705,62,1689,3,23171.710144927536,5349.333333333333,69,3
homebrew-cask,201706,63,838,2,21066.264150943396,32747.0,53,3
