path,create_time,contributors,pull_request,star
https://github.com/NixOS/nixpkgs,2012/6/4 0:00,3552,105648,7126
https://github.com/Homebrew/homebrew-cask,2012/3/5 0:00,5000,101555,18356
https://github.com/Homebrew/homebrew-core,2016/3/1 0:00,5000,75394,9522
https://github.com/elastic/kibana,2013/1/26 0:00,682,67491,16264
https://github.com/kubernetes/kubernetes,2014/6/6 0:00,3105,64411,78760
https://github.com/elastic/elasticsearch,2010/2/8 0:00,1634,46975,55605
https://github.com/rust-lang/rust,2010/6/16 0:00,3335,46666,56583
https://github.com/ansible/ansible,2012/3/6 0:00,5000,45535,48938
https://github.com/ceph/ceph,2011/9/1 0:00,1081,41976,9355
https://github.com/pytorch/pytorch,2016/8/13 0:00,1900,39490,49277
https://github.com/apple/swift,2015/10/23 0:00,884,37892,56491
https://github.com/saltstack/salt,2011/2/20 0:00,2314,36735,11798
https://github.com/Automattic/wp-calypso,2015/11/10 0:00,588,36088,11820
https://github.com/cockroachdb/cockroach,2014/2/6 0:00,469,32633,20828
https://github.com/CleverRaven/Cataclysm-DDA,2012/9/26 0:00,1350,31214,5251
https://github.com/home-assistant/core,2013/9/17 0:00,2481,30552,44375
https://github.com/flutter/flutter,2015/3/6 0:00,875,28664,123940
https://github.com/edx/edx-platform,2013/5/30 0:00,565,27852,5633
https://github.com/dotnet/roslyn,2015/1/11 0:00,478,27713,14629
https://github.com/rails/rails,2008/4/11 0:00,4271,27594,48652
https://github.com/symfony/symfony,2010/1/4 0:00,2367,25729,25535
https://github.com/nodejs/node,2014/11/26 0:00,2998,24790,80228
https://github.com/zephyrproject-rtos/zephyr,2016/5/26 0:00,1003,24275,4680
https://github.com/getsentry/sentry,2010/8/30 0:00,509,22001,28437
https://github.com/ampproject/amphtml,2015/9/1 0:00,1005,21961,14628
https://github.com/laravel/framework,2013/1/10 0:00,2553,21663,24358
https://github.com/moby/moby,2013/1/18 0:00,2118,21504,60574
https://github.com/pandas-dev/pandas,2010/8/24 0:00,2356,21423,30254
https://github.com/JuliaLang/julia,2011/4/21 0:00,1154,21146,34233
https://github.com/godotengine/godot,2014/1/4 0:00,1435,20676,39870
https://github.com/owncloud/core,2012/8/25 0:00,501,20072,7454
https://github.com/istio/istio,2016/11/18 0:00,708,19702,27369
https://github.com/elastic/beats,2014/2/5 0:00,595,19418,10085
https://github.com/angular/angular,2014/9/18 0:00,1427,19164,74342
https://github.com/qgis/QGIS,2011/5/2 0:00,439,18455,4765
https://github.com/helm/charts,2015/11/24 0:00,3433,18186,15152
https://github.com/tensorflow/tensorflow,2015/11/7 0:00,3022,18114,157168
https://github.com/gatsbyjs/gatsby,2015/5/21 0:00,3741,18073,50713
https://github.com/pingcap/tidb,2015/9/6 0:00,561,17982,28285
https://github.com/keybase/client,2015/1/11 0:00,88,17716,7579
https://github.com/xbmc/xbmc,2011/1/3 0:00,727,17479,12589
https://github.com/ClickHouse/ClickHouse,2016/6/2 0:00,713,17297,17297
https://github.com/WordPress/gutenberg,2017/2/3 0:00,763,17095,6955
https://github.com/servo/servo,2012/2/8 0:00,1105,16971,19805
https://github.com/grpc/grpc,2014/12/8 0:00,666,16753,30848
https://github.com/mono/mono,2010/7/22 0:00,787,16440,9355
https://github.com/bitcoin/bitcoin,2010/12/19 0:00,802,15510,55453
https://github.com/grafana/grafana,2013/12/11 0:00,1464,15497,42777
https://github.com/PrestaShop/PrestaShop,2012/11/19 0:00,699,15081,5994
https://github.com/nextcloud/server,2016/6/2 0:00,754,14583,14506
https://github.com/django/django,2012/4/28 0:00,2061,14515,58334
https://github.com/frappe/erpnext,2011/6/8 0:00,386,14155,9008
https://github.com/electron/electron,2013/4/12 0:00,1051,14116,94248
https://github.com/sourcegraph/sourcegraph,2015/8/24 0:00,178,13919,4819
https://github.com/mui-org/material-ui,2014/8/18 0:00,2215,13453,69190
https://github.com/microsoft/TypeScript,2014/6/17 0:00,588,13277,72576
https://github.com/matplotlib/matplotlib,2011/2/19 0:00,1087,12769,13847
https://github.com/zulip/zulip,2015/9/25 0:00,706,12681,13893
https://github.com/magento/magento2,2011/11/30 0:00,1452,12678,9515
https://github.com/twbs/bootstrap,2011/7/29 0:00,1225,12671,151614
https://github.com/systemd/systemd,2015/3/25 0:00,1571,12308,8151
https://github.com/ArduPilot/ardupilot,2013/1/9 0:00,569,12297,5987
https://github.com/opencv/opencv,2012/7/19 0:00,1281,12142,55303
https://github.com/mattermost/mattermost-server,2015/6/15 0:00,607,11983,20574
https://github.com/prestodb/presto,2012/8/9 0:00,477,11690,12185
https://github.com/scikit-learn/scikit-learn,2010/8/17 0:00,2002,11554,46321
https://github.com/cilium/cilium,2015/12/16 0:00,290,11474,8622
https://github.com/mrdoob/three.js,2010/3/23 0:00,1458,11442,72563
https://github.com/hashicorp/terraform,2014/3/13 0:00,1512,11442,27769
https://github.com/cockpit-project/cockpit,2013/11/1 0:00,149,11428,6075
https://github.com/envoyproxy/envoy,2016/8/8 0:00,725,11258,17243
https://github.com/qmk/qmk_firmware,2014/12/8 0:00,1749,11232,9966
https://github.com/facebook/react,2013/5/24 0:00,1548,11018,170935
https://github.com/woocommerce/woocommerce,2011/8/9 0:00,1033,10987,7120
https://github.com/microsoft/fluentui,2016/6/6 0:00,635,10768,11674
https://github.com/radareorg/radare2,2012/7/3 0:00,789,10647,14587
https://github.com/angular/components,2016/1/4 0:00,570,10612,21574
https://github.com/rapid7/metasploit-framework,2011/8/30 0:00,888,10530,24446
https://github.com/sympy/sympy,2010/4/30 0:00,993,10490,8222
https://github.com/akka/akka,2009/2/16 0:00,768,10349,11629
https://github.com/arangodb/arangodb,2011/10/26 0:00,101,10299,11354
https://github.com/tootsuite/mastodon,2016/2/22 0:00,644,10245,24403
https://github.com/facebook/react-native,2015/1/9 0:00,2285,10081,96413
https://github.com/MarlinFirmware/Marlin,2011/8/13 0:00,926,10068,11448
https://github.com/influxdata/influxdb,2013/9/26 0:00,418,9840,21715
https://github.com/dolphin-emu/dolphin,2013/7/22 0:00,447,9823,7529
https://github.com/openssl/openssl,2013/1/15 0:00,583,9808,16000
https://github.com/forem/forem,2016/11/13 0:00,589,9758,16985
https://github.com/neo4j/neo4j,2012/11/12 0:00,211,9730,9109
https://github.com/microsoft/vscode,2015/9/3 0:00,1436,9727,118058
https://github.com/dotnet/aspnetcore,2014/3/11 0:00,940,9639,24919
https://github.com/numpy/numpy,2010/9/13 0:00,1155,9609,17554
https://github.com/scala/scala,2011/12/1 0:00,521,9608,13374
https://github.com/hashicorp/terraform-provider-aws,2017/6/5 0:00,1875,9543,5993
https://github.com/cakephp/cakephp,2010/5/8 0:00,570,9484,8394
https://github.com/emberjs/ember.js,2011/5/25 0:00,875,9468,21905
https://github.com/ray-project/ray,2016/10/25 0:00,500,9427,16506
https://github.com/microsoft/vcpkg,2016/9/15 0:00,1217,9181,13158
https://github.com/gradle/gradle,2009/9/9 0:00,511,9052,12038
https://github.com/OpenRA/OpenRA,2010/10/4 0:00,297,8983,9417
https://github.com/RocketChat/Rocket.Chat,2015/5/19 0:00,731,8955,30415
https://github.com/nim-lang/Nim,2010/8/16 0:00,614,8868,11479
https://github.com/jhipster/generator-jhipster,2013/10/21 0:00,621,8867,18607
https://github.com/dotnet/efcore,2014/1/23 0:00,251,8804,10364
https://github.com/puppetlabs/puppet,2010/9/14 0:00,559,8655,6208
https://github.com/go-gitea/gitea,2016/11/1 0:00,892,8564,25309
https://github.com/vercel/next.js,2016/10/5 0:00,1652,8474,70198
https://github.com/Sylius/Sylius,2011/11/5 0:00,625,8449,6365
https://github.com/chef/chef,2009/1/15 0:00,653,8382,6612
https://github.com/BabylonJS/Babylon.js,2013/6/27 0:00,357,8212,14329
https://github.com/keycloak/keycloak,2013/7/2 0:00,494,8193,9245
https://github.com/cdnjs/cdnjs,2011/2/25 0:00,1442,8158,9108
https://github.com/neovim/neovim,2014/1/31 0:00,672,8059,45273
https://github.com/musescore/MuseScore,2012/5/26 0:00,217,8049,6087
https://github.com/pentaho/pentaho-kettle,2013/10/8 0:00,183,8033,5040
https://github.com/angular/angular-cli,2015/6/4 0:00,540,8005,24632
https://github.com/angular/angular.js,2010/1/6 0:00,1702,7987,59614
https://github.com/emscripten-core/emscripten,2011/2/12 0:00,579,7876,20838
https://github.com/Homebrew/brew,2016/3/6 0:00,844,7771,28394
https://github.com/etcd-io/etcd,2013/7/6 0:00,642,7715,36437
https://github.com/tikv/tikv,2015/12/31 0:00,306,7694,9529
https://github.com/hashicorp/vault,2015/2/25 0:00,898,7579,21373
https://github.com/kubernetes/kops,2016/6/27 0:00,764,7536,13095
https://github.com/metabase/metabase,2015/2/2 0:00,259,7465,25249
https://github.com/openlayers/openlayers,2012/6/20 0:00,298,7429,8166
https://github.com/yiisoft/yii2,2012/2/13 0:00,1136,7421,13747
https://github.com/playframework/playframework,2011/9/7 0:00,768,7360,11930
https://github.com/eclipse/che,2015/3/26 0:00,139,7315,6464
https://github.com/aws/aws-cdk,2017/10/4 0:00,711,7310,6937
https://github.com/microsoft/azuredatastudio,2017/11/2 0:00,132,7290,6400
https://github.com/storybookjs/storybook,2016/3/18 0:00,1313,7223,63144
https://github.com/hrydgard/ppsspp,2012/11/1 0:00,293,7090,6168
https://github.com/minio/minio,2015/1/14 0:00,295,7080,28333
https://github.com/spree/spree,2008/3/10 0:00,853,7073,11297
https://github.com/ppy/osu,2014/7/31 0:00,241,7067,7375
https://github.com/elastic/logstash,2010/11/18 0:00,464,7053,12241
https://github.com/mamedev/mame,2013/11/11 0:00,371,7040,5209
https://github.com/syl20bnr/spacemacs,2012/12/17 0:00,1099,6958,21572
https://github.com/scipy/scipy,2011/3/9 0:00,1024,6957,8346
https://github.com/TryGhost/Ghost,2013/5/4 0:00,349,6911,37884
https://github.com/rancher/rancher,2014/11/7 0:00,166,6754,17126
https://github.com/goharbor/harbor,2016/1/28 0:00,220,6740,15219
https://github.com/ethereum/solidity,2015/8/17 0:00,396,6737,10961
https://github.com/OpenRCT2/OpenRCT2,2014/4/1 0:00,420,6730,9577
https://github.com/elixir-lang/elixir,2011/1/9 0:00,1082,6647,18854
https://github.com/containers/podman,2017/11/1 0:00,293,6624,8332
https://github.com/fastlane/fastlane,2014/12/2 0:00,1162,6621,32551
https://github.com/chainer/chainer,2015/6/5 0:00,251,6578,5586
https://github.com/hashicorp/nomad,2015/6/1 0:00,465,6529,8728
https://github.com/vitessio/vitess,2013/6/27 0:00,267,6525,12134
https://github.com/ethereum/go-ethereum,2013/12/26 0:00,620,6419,31305
https://github.com/ipython/ipython,2010/5/10 0:00,733,6277,14866
https://github.com/checkstyle/checkstyle,2013/8/31 0:00,286,6239,6090
https://github.com/gocd/gocd,2013/12/13 0:00,133,6231,6151
https://github.com/paritytech/substrate,2017/11/7 0:00,258,6199,5053
https://github.com/openethereum/parity-ethereum,2015/11/23 0:00,218,6144,6398
https://github.com/facebook/rocksdb,2012/11/30 0:00,592,6107,20182
https://github.com/ohmyzsh/ohmyzsh,2009/8/28 0:00,1862,6059,130044
https://github.com/hashicorp/consul,2013/11/4 0:00,706,6018,22461
https://github.com/PowerShell/PowerShell,2016/1/13 0:00,376,6014,27629
https://github.com/mozilla-mobile/firefox-ios,2014/11/3 0:00,199,5975,10374
https://github.com/matrix-org/synapse,2014/8/11 0:00,307,5974,8061
https://github.com/renovatebot/renovate,2016/12/17 0:00,413,5974,5666
https://github.com/prettier/prettier,2016/11/29 0:00,543,5973,40024
https://github.com/rust-analyzer/rust-analyzer,2017/12/21 0:00,420,5973,6624
https://github.com/mozilla/pdf.js,2011/4/26 0:00,336,5961,35382
https://github.com/TrinityCore/TrinityCore,2010/12/28 0:00,426,5905,6748
https://github.com/netty/netty,2010/11/9 0:00,518,5871,27060
https://github.com/eslint/eslint,2013/6/29 0:00,874,5802,18735
https://github.com/MetaMask/metamask-extension,2015/9/6 0:00,222,5757,5116
https://github.com/bigbluebutton/bigbluebutton,2010/5/25 0:00,157,5717,6809
https://github.com/HabitRPG/habitica,2012/6/6 0:00,614,5671,8414
https://github.com/grpc/grpc-java,2014/12/8 0:00,238,5635,8828
https://github.com/zendframework/zendframework,2010/6/4 0:00,673,5631,5659
https://github.com/adobe/brackets,2011/12/7 0:00,372,5603,33687
https://github.com/minetest/minetest,2011/8/7 0:00,549,5584,6068
